"Indicator","Time","Value (USD/UAH)"
"Currency","2016/05/25",25.08
"Currency","2016/05/24",25.13
"Currency","2016/05/23",25.13
"Currency","2016/05/20",25.16
"Currency","2016/05/19",25.23
"Currency","2016/05/18",25.24
"Currency","2016/05/17",25.28
"Currency","2016/05/16",25.38
"Currency","2016/05/13",25.50
"Currency","2016/05/12",25.25
"Currency","2016/05/11",25.34
"Currency","2016/05/10",25.18
"Currency","2016/05/09",25.18
"Currency","2016/05/06",25.18
"Currency","2016/05/05",25.15
"Currency","2016/05/04",25.14
"Currency","2016/05/03",25.13
"Currency","2016/05/02",25.13
"Currency","2016/04/29",25.20
"Currency","2016/04/28",25.20
"Currency","2016/04/27",25.13
"Currency","2016/04/26",25.20
"Currency","2016/04/25",25.33
"Currency","2016/04/23",25.34
"Currency","2016/04/22",25.34
"Currency","2016/04/21",25.38
"Currency","2016/04/20",25.43
"Currency","2016/04/19",25.43
"Currency","2016/04/18",25.48
"Currency","2016/04/15",25.45
"Currency","2016/04/14",25.60
"Currency","2016/04/13",25.51
"Currency","2016/04/12",25.45
"Currency","2016/04/11",25.53
"Currency","2016/04/09",25.63
"Currency","2016/04/08",25.63
"Currency","2016/04/07",25.80
"Currency","2016/04/06",25.95
"Currency","2016/04/05",26.05
"Currency","2016/04/04",26.15
"Currency","2016/04/01",26.05
"Currency","2016/03/31",26.20
"Currency","2016/03/30",26.25
"Currency","2016/03/29",26.35
"Currency","2016/03/28",26.20
"Currency","2016/03/25",26.20
"Currency","2016/03/24",26.20
"Currency","2016/03/23",26.15
"Currency","2016/03/22",26.15
"Currency","2016/03/21",26.35
"Currency","2016/03/18",26.60
"Currency","2016/03/17",26.45
"Currency","2016/03/16",26.94
"Currency","2016/03/15",26.93
"Currency","2016/03/14",26.33
"Currency","2016/03/13",25.50
"Currency","2016/03/11",25.50
"Currency","2016/03/10",25.55
"Currency","2016/03/09",26.00
"Currency","2016/03/08",26.25
"Currency","2016/03/07",26.25
"Currency","2016/03/06",26.25
"Currency","2016/03/04",26.25
"Currency","2016/03/03",26.25
"Currency","2016/03/02",26.60
"Currency","2016/03/01",27.14
"Currency","2016/02/29",26.90
"Currency","2016/02/28",27.30
"Currency","2016/02/26",27.30
"Currency","2016/02/25",27.10
"Currency","2016/02/24",27.35
"Currency","2016/02/23",27.25
"Currency","2016/02/22",27.12
"Currency","2016/02/19",26.97
"Currency","2016/02/18",26.40
"Currency","2016/02/17",26.90
"Currency","2016/02/16",26.80
"Currency","2016/02/15",26.95
"Currency","2016/02/12",26.18
"Currency","2016/02/11",26.01
"Currency","2016/02/10",25.95
"Currency","2016/02/09",25.93
"Currency","2016/02/08",25.97
"Currency","2016/02/05",25.88
"Currency","2016/02/04",25.85
"Currency","2016/02/03",25.75
"Currency","2016/02/02",25.90
"Currency","2016/02/01",25.55
"Currency","2016/01/29",25.65
"Currency","2016/01/28",25.15
"Currency","2016/01/27",24.95
"Currency","2016/01/26",24.90
"Currency","2016/01/25",24.80
"Currency","2016/01/22",24.55
"Currency","2016/01/21",24.85
"Currency","2016/01/20",24.45
"Currency","2016/01/19",24.70
"Currency","2016/01/18",24.60
"Currency","2016/01/15",24.40
"Currency","2016/01/14",24.13
"Currency","2016/01/13",23.31
"Currency","2016/01/12",23.23
"Currency","2016/01/11",23.40
"Currency","2016/01/08",23.35
"Currency","2016/01/07",23.35
"Currency","2016/01/06",23.35
"Currency","2016/01/05",23.78
"Currency","2016/01/04",24.14
"Currency","2016/01/01",24.03
"Currency","2015/12/31",24.03
"Currency","2015/12/30",24.04
"Currency","2015/12/29",23.80
"Currency","2015/12/28",23.48
"Currency","2015/12/25",22.90
"Currency","2015/12/24",22.90
"Currency","2015/12/23",22.97
"Currency","2015/12/22",22.90
"Currency","2015/12/21",23.15
"Currency","2015/12/20",23.67
"Currency","2015/12/18",23.67
"Currency","2015/12/17",23.44
"Currency","2015/12/16",23.58
"Currency","2015/12/15",23.90
"Currency","2015/12/14",23.76
"Currency","2015/12/11",23.80
"Currency","2015/12/10",23.53
"Currency","2015/12/09",22.98
"Currency","2015/12/08",22.88
"Currency","2015/12/07",23.15
"Currency","2015/12/06",23.71
"Currency","2015/12/04",23.71
"Currency","2015/12/03",23.10
"Currency","2015/12/02",23.40
"Currency","2015/12/01",23.85
"Currency","2015/11/30",23.76
"Currency","2015/11/29",23.52
"Currency","2015/11/28",23.52
"Currency","2015/11/27",23.52
"Currency","2015/11/26",23.48
"Currency","2015/11/25",23.58
"Currency","2015/11/24",23.81
"Currency","2015/11/23",23.95
"Currency","2015/11/20",24.12
"Currency","2015/11/19",23.75
"Currency","2015/11/18",23.80
"Currency","2015/11/17",23.35
"Currency","2015/11/16",23.38
"Currency","2015/11/13",23.14
"Currency","2015/11/12",23.00
"Currency","2015/11/11",22.90
"Currency","2015/11/10",22.60
"Currency","2015/11/09",22.78
"Currency","2015/11/08",22.60
"Currency","2015/11/06",22.49
"Currency","2015/11/05",22.75
"Currency","2015/11/04",23.05
"Currency","2015/11/03",23.25
