"Indicator","Time","Value (USD/SYP)"
"Currency","2017/02/28",515.00
"Currency","2017/02/27",514.98
"Currency","2017/02/24",515.00
"Currency","2017/02/23",514.98
"Currency","2017/02/22",515.00
"Currency","2017/02/21",514.98
"Currency","2017/02/20",515.00
"Currency","2017/02/17",514.98
"Currency","2017/02/16",515.00
"Currency","2017/02/15",514.98
"Currency","2017/02/14",515.00
"Currency","2017/02/13",514.98
"Currency","2017/02/10",515.00
"Currency","2017/02/09",514.98
"Currency","2017/02/08",514.98
"Currency","2017/02/07",514.98
"Currency","2017/02/06",515.30
"Currency","2017/02/03",515.30
"Currency","2017/02/02",515.30
"Currency","2017/02/01",515.30
"Currency","2017/01/31",514.98
"Currency","2017/01/30",515.00
"Currency","2017/01/27",515.30
"Currency","2017/01/26",515.30
"Currency","2017/01/25",515.30
"Currency","2017/01/24",514.98
"Currency","2017/01/23",514.98
"Currency","2017/01/20",514.98
"Currency","2017/01/19",514.98
"Currency","2017/01/18",514.98
"Currency","2017/01/17",514.98
"Currency","2017/01/16",514.98
"Currency","2017/01/13",514.98
"Currency","2017/01/12",515.00
"Currency","2017/01/11",514.98
"Currency","2017/01/10",514.98
"Currency","2017/01/09",514.98
"Currency","2017/01/07",514.98
"Currency","2017/01/06",514.98
"Currency","2017/01/05",514.98
"Currency","2017/01/04",514.98
"Currency","2017/01/03",514.98
"Currency","2017/01/02",514.98
"Currency","2016/12/30",514.98
"Currency","2016/12/29",514.98
"Currency","2016/12/28",515.30
"Currency","2016/12/27",515.30
"Currency","2016/12/26",515.30
"Currency","2016/12/23",515.30
"Currency","2016/12/22",514.98
"Currency","2016/12/21",514.98
"Currency","2016/12/20",514.98
"Currency","2016/12/19",514.98
"Currency","2016/12/16",514.98
"Currency","2016/12/15",514.98
"Currency","2016/12/14",514.98
"Currency","2016/12/13",514.98
"Currency","2016/12/12",515.30
"Currency","2016/12/10",514.98
"Currency","2016/12/09",515.30
"Currency","2016/12/08",515.00
"Currency","2016/12/07",515.00
"Currency","2016/12/06",515.00
"Currency","2016/12/05",515.00
"Currency","2016/12/02",515.30
"Currency","2016/12/01",515.30
"Currency","2016/11/30",515.30
"Currency","2016/11/29",515.00
"Currency","2016/11/28",515.00
"Currency","2016/11/25",515.00
"Currency","2016/11/24",515.00
"Currency","2016/11/23",515.00
"Currency","2016/11/22",515.00
"Currency","2016/11/21",515.00
"Currency","2016/11/18",515.00
"Currency","2016/11/17",515.00
"Currency","2016/11/10",515.00
"Currency","2016/11/09",515.00
"Currency","2016/11/08",516.00
"Currency","2016/11/07",516.00
"Currency","2016/11/04",515.00
"Currency","2016/11/03",515.00
"Currency","2016/11/02",517.00
"Currency","2016/11/01",517.00
"Currency","2016/10/31",517.30
"Currency","2016/10/28",517.00
"Currency","2016/10/27",517.00
"Currency","2016/10/26",517.00
"Currency","2016/10/25",517.00
"Currency","2016/10/24",517.00
"Currency","2016/10/21",517.00
"Currency","2016/10/20",517.00
"Currency","2016/10/19",517.00
"Currency","2016/10/18",517.00
"Currency","2016/10/17",517.00
"Currency","2016/10/14",517.05
"Currency","2016/10/13",517.10
"Currency","2016/10/12",517.10
"Currency","2016/10/11",517.00
"Currency","2016/10/10",517.00
"Currency","2016/10/07",517.20
"Currency","2016/10/06",517.20
"Currency","2016/10/05",517.25
"Currency","2016/10/04",517.25
"Currency","2016/10/03",517.30
"Currency","2016/10/01",213.30
"Currency","2016/09/30",213.30
"Currency","2016/09/29",213.30
"Currency","2016/09/28",213.40
"Currency","2016/09/27",213.40
"Currency","2016/09/26",213.55
"Currency","2016/09/24",213.60
"Currency","2016/09/23",213.60
"Currency","2016/09/22",213.65
"Currency","2016/09/21",213.70
"Currency","2016/09/20",213.75
"Currency","2016/09/19",213.85
"Currency","2016/09/17",213.90
"Currency","2016/09/16",213.90
"Currency","2016/09/15",213.95
"Currency","2016/09/14",213.95
"Currency","2016/09/13",214.00
"Currency","2016/09/12",214.00
"Currency","2016/09/10",214.10
"Currency","2016/09/09",214.10
"Currency","2016/09/08",214.10
"Currency","2016/09/07",214.20
"Currency","2016/09/06",214.28
"Currency","2016/09/05",215.25
"Currency","2016/09/03",214.35
"Currency","2016/09/02",214.35
"Currency","2016/09/01",214.38
"Currency","2016/08/31",214.40
"Currency","2016/08/30",214.45
"Currency","2016/08/29",214.45
"Currency","2016/08/26",214.55
"Currency","2016/08/25",214.60
"Currency","2016/08/24",214.65
"Currency","2016/08/23",214.70
"Currency","2016/08/22",214.70
"Currency","2016/08/19",214.75
"Currency","2016/08/18",214.85
"Currency","2016/08/17",214.85
"Currency","2016/08/16",214.85
"Currency","2016/08/15",214.88
"Currency","2016/08/12",214.90
"Currency","2016/08/11",214.95
"Currency","2016/08/10",214.98
"Currency","2016/08/09",215.00
"Currency","2016/08/08",215.05
"Currency","2016/08/05",215.10
"Currency","2016/08/04",215.18
"Currency","2016/08/03",215.20
"Currency","2016/08/02",215.25
"Currency","2016/08/01",215.30
"Currency","2016/07/29",215.40
"Currency","2016/07/28",215.45
"Currency","2016/07/27",215.50
"Currency","2016/07/26",215.55
"Currency","2016/07/25",215.60
"Currency","2016/07/22",215.65
"Currency","2016/07/21",215.68
"Currency","2016/07/20",215.78
"Currency","2016/07/19",215.80
"Currency","2016/07/18",215.85
"Currency","2016/07/15",215.90
"Currency","2016/07/14",215.95
"Currency","2016/07/13",216.00
"Currency","2016/07/12",216.05
"Currency","2016/07/11",216.10
"Currency","2016/07/08",216.15
"Currency","2016/07/07",216.25
"Currency","2016/07/06",216.30
"Currency","2016/07/05",216.40
"Currency","2016/07/04",216.45
"Currency","2016/07/01",216.45
"Currency","2016/06/30",216.50
"Currency","2016/06/29",219.86
"Currency","2016/06/28",219.86
"Currency","2016/06/27",219.86
"Currency","2016/06/24",219.86
"Currency","2016/06/23",219.86
"Currency","2016/06/22",219.86
"Currency","2016/06/21",219.86
"Currency","2016/06/20",219.86
"Currency","2016/06/17",219.86
"Currency","2016/06/16",219.86
"Currency","2016/06/15",219.86
"Currency","2016/06/14",219.86
"Currency","2016/06/13",219.86
"Currency","2016/06/10",219.86
"Currency","2016/06/09",219.86
"Currency","2016/06/08",219.86
"Currency","2016/06/07",219.86
"Currency","2016/06/06",219.86
"Currency","2016/06/03",219.86
"Currency","2016/06/02",219.86
"Currency","2016/06/01",219.86
"Currency","2016/05/31",219.86
"Currency","2016/05/30",218.20
"Currency","2016/05/27",219.86
"Currency","2016/05/26",219.86
"Currency","2016/05/25",219.86
"Currency","2016/05/24",219.86
"Currency","2016/05/23",219.86
"Currency","2016/05/20",219.86
"Currency","2016/05/19",219.86
"Currency","2016/05/18",219.86
"Currency","2016/05/17",219.86
"Currency","2016/05/16",219.86
"Currency","2016/05/13",219.86
"Currency","2016/05/12",219.86
"Currency","2016/05/11",219.86
"Currency","2016/05/10",219.86
"Currency","2016/05/09",219.86
"Currency","2016/05/06",219.86
"Currency","2016/05/05",219.86
"Currency","2016/05/04",219.86
"Currency","2016/05/03",219.86
"Currency","2016/05/02",219.86
"Currency","2016/04/30",219.86
"Currency","2016/04/29",219.86
"Currency","2016/04/28",219.86
"Currency","2016/04/27",219.86
"Currency","2016/04/26",219.86
"Currency","2016/04/25",219.86
"Currency","2016/04/23",219.86
"Currency","2016/04/22",219.86
"Currency","2016/04/21",219.86
"Currency","2016/04/20",219.86
"Currency","2016/04/19",219.86
"Currency","2016/04/18",219.86
"Currency","2016/04/16",219.86
"Currency","2016/04/15",219.86
"Currency","2016/04/14",219.86
"Currency","2016/04/13",219.86
"Currency","2016/04/12",219.86
"Currency","2016/04/11",219.86
"Currency","2016/04/09",219.86
"Currency","2016/04/08",219.86
"Currency","2016/04/07",219.86
"Currency","2016/04/06",219.86
"Currency","2016/04/05",219.86
"Currency","2016/04/04",219.86
"Currency","2016/04/01",219.86
"Currency","2016/03/31",219.86
"Currency","2016/03/30",219.86
"Currency","2016/03/29",219.86
"Currency","2016/03/28",219.86
"Currency","2016/03/25",219.86
"Currency","2016/03/24",219.86
"Currency","2016/03/23",219.86
"Currency","2016/03/22",219.86
"Currency","2016/03/21",219.86
"Currency","2016/03/18",219.86
"Currency","2016/03/17",219.86
"Currency","2016/03/16",219.86
"Currency","2016/03/15",219.86
"Currency","2016/03/14",219.86
"Currency","2016/03/13",219.86
"Currency","2016/03/11",219.86
"Currency","2016/03/10",219.86
"Currency","2016/03/09",219.83
"Currency","2016/03/08",219.80
"Currency","2016/03/07",219.80
"Currency","2016/03/06",219.80
"Currency","2016/03/04",219.80
"Currency","2016/03/03",219.80
"Currency","2016/03/02",219.80
"Currency","2016/03/01",219.80
"Currency","2016/02/29",219.80
"Currency","2016/02/28",219.80
"Currency","2016/02/26",219.80
"Currency","2016/02/25",219.80
"Currency","2016/02/24",219.80
"Currency","2016/02/23",219.80
"Currency","2016/02/22",219.80
"Currency","2016/02/19",219.78
"Currency","2016/02/18",219.78
"Currency","2016/02/17",219.78
"Currency","2016/02/16",219.78
"Currency","2016/02/15",219.75
"Currency","2016/02/12",219.75
"Currency","2016/02/11",219.77
"Currency","2016/02/10",219.77
"Currency","2016/02/09",219.82
"Currency","2016/02/08",219.82
"Currency","2016/02/05",219.88
