"Indicator","Time","Value (USD/DZD)"
"Currency","2015/05/28",99.38
"Currency","2015/05/27",99.25
"Currency","2015/05/26",98.85
"Currency","2015/05/25",98.92
"Currency","2015/05/22",98.43
"Currency","2015/05/21",98.43
"Currency","2015/05/20",98.27
"Currency","2015/05/19",97.61
"Currency","2015/05/18",97.52
"Currency","2015/05/15",97.44
"Currency","2015/05/14",97.61
"Currency","2015/05/13",97.61
"Currency","2015/05/12",97.64
"Currency","2015/05/11",97.42
"Currency","2015/05/08",97.22
"Currency","2015/05/07",96.03
"Currency","2015/05/05",97.18
"Currency","2015/05/04",96.91
"Currency","2015/05/01",96.72
"Currency","2015/04/30",96.74
"Currency","2015/04/29",97.13
"Currency","2015/04/28",97.42
"Currency","2015/04/27",97.50
"Currency","2015/04/24",97.80
"Currency","2015/04/23",97.94
"Currency","2015/04/22",97.81
"Currency","2015/04/21",97.75
"Currency","2015/04/20",97.53
"Currency","2015/04/17",97.77
"Currency","2015/04/16",98.22
"Currency","2015/04/15",97.70
"Currency","2015/04/14",98.27
"Currency","2015/04/13",98.30
"Currency","2015/04/10",97.77
"Currency","2015/04/09",97.29
"Currency","2015/04/08",96.93
"Currency","2015/04/07",96.38
"Currency","2015/04/06",95.99
"Currency","2015/04/03",96.90
"Currency","2015/04/02",97.09
