"Indicator","Time","Value (USD/COP)"
"Currency","2016/02/03",3374.60
"Currency","2016/02/02",3394.97
"Currency","2016/02/01",3327.65
"Currency","2016/01/29",3282.16
"Currency","2016/01/28",3280.68
"Currency","2016/01/27",3357.87
"Currency","2016/01/26",3365.75
"Currency","2016/01/25",3399.25
"Currency","2016/01/22",3318.61
"Currency","2016/01/21",3320.25
"Currency","2016/01/20",3395.38
"Currency","2016/01/19",3295.32
"Currency","2016/01/18",3302.40
"Currency","2016/01/15",3301.01
"Currency","2016/01/14",3248.28
"Currency","2016/01/13",3265.70
"Currency","2016/01/12",3280.68
"Currency","2016/01/11",3278.26
"Currency","2016/01/10",3269.60
"Currency","2016/01/08",3269.60
"Currency","2016/01/07",3272.00
"Currency","2016/01/06",3255.01
"Currency","2016/01/05",3217.50
"Currency","2016/01/04",3219.60
"Currency","2016/01/01",3179.28
"Currency","2015/12/31",3179.28
"Currency","2015/12/30",3175.00
"Currency","2015/12/29",3166.88
"Currency","2015/12/28",3173.50
"Currency","2015/12/25",3187.50
"Currency","2015/12/24",3173.00
"Currency","2015/12/23",3275.30
"Currency","2015/12/22",3322.20
"Currency","2015/12/21",3319.07
"Currency","2015/12/20",3328.50
"Currency","2015/12/18",3329.45
"Currency","2015/12/17",3346.94
"Currency","2015/12/16",3335.55
"Currency","2015/12/15",3315.28
"Currency","2015/12/14",3350.50
"Currency","2015/12/11",3331.00
"Currency","2015/12/10",3248.05
"Currency","2015/12/09",3284.55
"Currency","2015/12/08",3308.50
"Currency","2015/12/07",3307.53
"Currency","2015/12/06",3203.70
"Currency","2015/12/04",3201.91
"Currency","2015/12/03",3143.99
"Currency","2015/12/02",3163.04
"Currency","2015/12/01",3124.02
"Currency","2015/11/30",3146.25
"Currency","2015/11/29",3107.98
"Currency","2015/11/28",3107.98
"Currency","2015/11/27",3105.93
"Currency","2015/11/26",3095.50
"Currency","2015/11/25",3086.00
"Currency","2015/11/24",3068.77
"Currency","2015/11/23",3094.50
"Currency","2015/11/20",3063.00
"Currency","2015/11/19",3074.08
"Currency","2015/11/18",3103.60
"Currency","2015/11/17",3080.87
"Currency","2015/11/16",3076.16
"Currency","2015/11/13",3075.27
"Currency","2015/11/12",3036.84
"Currency","2015/11/11",2942.00
"Currency","2015/11/10",2941.66
"Currency","2015/11/09",2926.00
"Currency","2015/11/08",2891.00
"Currency","2015/11/06",2891.48
"Currency","2015/11/05",2858.50
"Currency","2015/11/04",2835.43
"Currency","2015/11/03",2799.19
"Currency","2015/11/02",2896.50
"Currency","2015/11/01",2893.95
"Currency","2015/10/30",2896.60
"Currency","2015/10/29",2915.45
"Currency","2015/10/28",2918.85
"Currency","2015/10/27",2948.46
"Currency","2015/10/26",2928.50
"Currency","2015/10/25",2911.30
"Currency","2015/10/23",2915.60
"Currency","2015/10/22",2904.19
"Currency","2015/10/21",2960.45
"Currency","2015/10/20",2935.47
"Currency","2015/10/19",2918.91
"Currency","2015/10/18",2883.83
"Currency","2015/10/16",2883.53
"Currency","2015/10/15",2894.09
"Currency","2015/10/14",2926.00
"Currency","2015/10/13",2912.00
"Currency","2015/10/12",2869.10
"Currency","2015/10/09",2869.11
"Currency","2015/10/08",2870.48
"Currency","2015/10/07",2899.82
"Currency","2015/10/06",2913.71
"Currency","2015/10/05",2962.45
"Currency","2015/10/04",3036.86
"Currency","2015/10/02",3036.86
"Currency","2015/10/01",3062.59
"Currency","2015/09/30",3088.17
"Currency","2015/09/29",3117.50
"Currency","2015/09/28",3122.43
"Currency","2015/09/27",3072.58
"Currency","2015/09/26",3072.58
"Currency","2015/09/25",3072.58
"Currency","2015/09/24",3116.34
"Currency","2015/09/23",3118.41
"Currency","2015/09/22",3071.49
"Currency","2015/09/21",3008.16
"Currency","2015/09/20",2984.83
"Currency","2015/09/18",2984.83
"Currency","2015/09/17",2982.22
"Currency","2015/09/16",2967.17
"Currency","2015/09/15",3026.23
"Currency","2015/09/14",3026.93
"Currency","2015/09/13",3037.67
"Currency","2015/09/11",3037.67
"Currency","2015/09/10",3050.76
"Currency","2015/09/09",3113.56
"Currency","2015/09/08",3115.17
"Currency","2015/09/07",3137.00
"Currency","2015/09/06",3127.75
"Currency","2015/09/04",3127.75
"Currency","2015/09/03",3109.34
"Currency","2015/09/02",3171.00
"Currency","2015/09/01",3115.30
"Currency","2015/08/31",3054.73
"Currency","2015/08/30",3075.00
"Currency","2015/08/28",3075.00
"Currency","2015/08/27",3162.33
"Currency","2015/08/26",3260.85
"Currency","2015/08/25",3217.21
"Currency","2015/08/24",3238.61
"Currency","2015/08/21",3107.65
"Currency","2015/08/20",3062.20
"Currency","2015/08/19",3024.59
"Currency","2015/08/18",3003.60
"Currency","2015/08/17",2999.73
"Currency","2015/08/14",2991.75
"Currency","2015/08/13",2982.89
"Currency","2015/08/12",2939.45
"Currency","2015/08/11",2938.69
"Currency","2015/08/10",2908.62
"Currency","2015/08/07",2938.45
"Currency","2015/08/06",2938.54
"Currency","2015/08/05",2951.40
"Currency","2015/08/04",2924.50
