"Indicator","Time","Value (USD/BOB)"
"Currency","2016/01/18",6.91
"Currency","2016/01/15",6.91
"Currency","2016/01/14",6.90
"Currency","2016/01/13",6.90
"Currency","2016/01/12",6.91
"Currency","2016/01/11",6.91
"Currency","2016/01/10",6.91
"Currency","2016/01/08",6.91
"Currency","2016/01/07",6.90
"Currency","2016/01/06",6.91
"Currency","2016/01/05",6.90
"Currency","2016/01/04",6.90
"Currency","2016/01/03",6.90
"Currency","2016/01/01",6.90
"Currency","2015/12/31",6.90
"Currency","2015/12/30",6.90
"Currency","2015/12/29",6.91
"Currency","2015/12/28",6.90
"Currency","2015/12/25",6.91
"Currency","2015/12/24",6.91
"Currency","2015/12/23",6.91
"Currency","2015/12/22",6.91
"Currency","2015/12/21",6.91
"Currency","2015/12/20",6.90
"Currency","2015/12/18",6.89
"Currency","2015/12/17",6.90
"Currency","2015/12/16",6.91
"Currency","2015/12/15",6.91
"Currency","2015/12/14",6.90
"Currency","2015/12/11",6.91
"Currency","2015/12/10",6.91
"Currency","2015/12/09",6.90
"Currency","2015/12/08",6.91
"Currency","2015/12/07",6.91
"Currency","2015/12/06",6.91
"Currency","2015/12/04",6.91
"Currency","2015/12/03",6.91
"Currency","2015/12/02",6.90
"Currency","2015/12/01",6.91
"Currency","2015/11/30",6.91
"Currency","2015/11/28",6.90
"Currency","2015/11/27",6.90
"Currency","2015/11/26",6.90
"Currency","2015/11/25",6.90
"Currency","2015/11/24",6.91
"Currency","2015/11/23",6.90
"Currency","2015/11/20",6.90
"Currency","2015/11/19",6.91
"Currency","2015/11/18",6.90
"Currency","2015/11/17",6.90
"Currency","2015/11/16",6.91
"Currency","2015/11/13",6.90
"Currency","2015/11/12",6.91
"Currency","2015/11/11",6.90
"Currency","2015/11/10",6.91
"Currency","2015/11/09",6.91
"Currency","2015/11/08",6.91
"Currency","2015/11/06",6.91
"Currency","2015/11/05",6.91
"Currency","2015/11/04",6.90
"Currency","2015/11/03",6.91
"Currency","2015/11/02",6.90
"Currency","2015/11/01",6.90
"Currency","2015/10/30",6.90
"Currency","2015/10/29",6.90
"Currency","2015/10/28",6.90
"Currency","2015/10/27",6.91
"Currency","2015/10/26",6.90
"Currency","2015/10/25",6.91
"Currency","2015/10/23",6.91
"Currency","2015/10/22",6.90
"Currency","2015/10/21",6.91
"Currency","2015/10/20",6.90
"Currency","2015/10/19",6.91
"Currency","2015/10/18",6.91
"Currency","2015/10/16",6.91
"Currency","2015/10/15",6.91
"Currency","2015/10/14",6.90
"Currency","2015/10/13",6.90
"Currency","2015/10/12",6.91
"Currency","2015/10/09",6.91
"Currency","2015/10/08",6.90
"Currency","2015/10/07",6.90
"Currency","2015/10/06",6.90
"Currency","2015/10/05",6.90
"Currency","2015/10/04",6.91
"Currency","2015/10/02",6.91
"Currency","2015/10/01",6.90
"Currency","2015/09/30",6.91
"Currency","2015/09/29",6.90
"Currency","2015/09/28",6.90
"Currency","2015/09/27",6.90
"Currency","2015/09/26",6.90
"Currency","2015/09/25",6.90
"Currency","2015/09/24",6.91
"Currency","2015/09/23",6.90
"Currency","2015/09/22",6.91
"Currency","2015/09/21",6.90
"Currency","2015/09/20",6.90
"Currency","2015/09/18",6.90
"Currency","2015/09/17",6.91
"Currency","2015/09/16",6.91
"Currency","2015/09/15",6.90
"Currency","2015/09/14",6.90
"Currency","2015/09/13",6.91
"Currency","2015/09/11",6.91
"Currency","2015/09/10",6.90
"Currency","2015/09/09",6.91
"Currency","2015/09/08",6.90
"Currency","2015/09/07",6.90
"Currency","2015/09/06",6.90
"Currency","2015/09/04",6.90
"Currency","2015/09/03",6.91
