"Indicator","Time","Value (USD/BDT)"
"Currency","2016/11/25",79.15
"Currency","2016/11/24",79.18
"Currency","2016/11/23",79.18
"Currency","2016/11/22",79.05
"Currency","2016/11/21",79.08
"Currency","2016/11/19",78.75
"Currency","2016/11/18",78.75
"Currency","2016/11/17",78.72
"Currency","2016/11/16",78.73
"Currency","2016/11/15",78.75
"Currency","2016/11/14",78.80
"Currency","2016/11/11",78.44
"Currency","2016/11/10",78.45
"Currency","2016/11/09",78.45
"Currency","2016/11/08",78.57
"Currency","2016/11/07",78.50
"Currency","2016/11/04",78.40
"Currency","2016/11/03",78.48
"Currency","2016/11/02",78.48
"Currency","2016/11/01",78.55
"Currency","2016/10/31",78.30
"Currency","2016/10/28",78.33
"Currency","2016/10/27",78.43
"Currency","2016/10/26",78.25
"Currency","2016/10/25",78.39
"Currency","2016/10/24",78.40
"Currency","2016/10/21",78.28
"Currency","2016/10/20",78.28
"Currency","2016/10/19",78.34
"Currency","2016/10/18",78.36
"Currency","2016/10/17",78.33
"Currency","2016/10/14",78.33
"Currency","2016/10/13",78.50
"Currency","2016/10/12",78.33
"Currency","2016/10/11",78.33
"Currency","2016/10/10",78.34
"Currency","2016/10/07",78.32
"Currency","2016/10/06",78.38
"Currency","2016/10/05",78.34
"Currency","2016/10/04",78.37
"Currency","2016/10/03",78.37
"Currency","2016/10/01",78.43
"Currency","2016/09/30",78.43
"Currency","2016/09/29",78.38
"Currency","2016/09/28",78.33
"Currency","2016/09/27",78.35
"Currency","2016/09/26",78.35
"Currency","2016/09/24",78.43
"Currency","2016/09/23",78.43
"Currency","2016/09/22",78.35
"Currency","2016/09/21",78.32
"Currency","2016/09/20",78.32
"Currency","2016/09/19",78.32
"Currency","2016/09/17",78.29
"Currency","2016/09/16",78.29
"Currency","2016/09/15",78.22
"Currency","2016/09/14",78.25
"Currency","2016/09/13",78.26
"Currency","2016/09/12",78.25
"Currency","2016/09/10",78.30
"Currency","2016/09/09",78.30
"Currency","2016/09/08",78.33
"Currency","2016/09/07",78.27
"Currency","2016/09/06",78.21
"Currency","2016/09/05",78.23
"Currency","2016/09/03",78.28
"Currency","2016/09/02",78.28
"Currency","2016/09/01",78.33
"Currency","2016/08/31",78.35
"Currency","2016/08/30",78.25
"Currency","2016/08/29",78.38
"Currency","2016/08/26",78.27
"Currency","2016/08/25",78.27
"Currency","2016/08/24",78.25
"Currency","2016/08/23",78.25
"Currency","2016/08/22",78.25
"Currency","2016/08/19",78.26
"Currency","2016/08/18",78.24
"Currency","2016/08/17",78.27
"Currency","2016/08/16",78.33
"Currency","2016/08/15",78.28
"Currency","2016/08/12",78.27
"Currency","2016/08/11",78.38
"Currency","2016/08/10",78.32
"Currency","2016/08/09",78.38
"Currency","2016/08/08",78.33
"Currency","2016/08/05",78.31
"Currency","2016/08/04",78.33
"Currency","2016/08/03",78.35
"Currency","2016/08/02",78.35
"Currency","2016/08/01",78.38
"Currency","2016/07/29",78.33
"Currency","2016/07/28",78.35
"Currency","2016/07/27",78.41
"Currency","2016/07/26",78.40
"Currency","2016/07/25",78.38
"Currency","2016/07/22",78.33
"Currency","2016/07/21",78.41
"Currency","2016/07/20",78.33
"Currency","2016/07/19",78.38
"Currency","2016/07/18",78.33
"Currency","2016/07/15",78.28
"Currency","2016/07/14",78.38
"Currency","2016/07/13",78.30
"Currency","2016/07/12",78.35
"Currency","2016/07/11",78.33
"Currency","2016/07/08",78.28
"Currency","2016/07/07",78.25
"Currency","2016/07/06",78.28
"Currency","2016/07/05",78.27
"Currency","2016/07/04",78.28
"Currency","2016/07/01",78.25
"Currency","2016/06/30",78.33
"Currency","2016/06/29",78.35
"Currency","2016/06/28",78.38
"Currency","2016/06/27",78.35
"Currency","2016/06/24",78.35
"Currency","2016/06/23",78.35
"Currency","2016/06/22",78.35
"Currency","2016/06/21",78.22
"Currency","2016/06/20",78.29
"Currency","2016/06/17",78.56
"Currency","2016/06/16",78.37
"Currency","2016/06/15",78.37
"Currency","2016/06/14",78.37
"Currency","2016/06/13",78.25
"Currency","2016/06/10",78.88
"Currency","2016/06/09",78.20
"Currency","2016/06/08",78.37
"Currency","2016/06/07",78.38
"Currency","2016/06/06",78.33
"Currency","2016/06/04",78.62
"Currency","2016/06/03",78.62
"Currency","2016/06/02",78.98
"Currency","2016/06/01",78.67
"Currency","2016/05/31",78.58
"Currency","2016/05/30",78.64
"Currency","2016/05/27",78.64
"Currency","2016/05/26",78.65
"Currency","2016/05/25",78.66
"Currency","2016/05/24",78.63
"Currency","2016/05/23",78.62
"Currency","2016/05/20",78.66
"Currency","2016/05/19",78.63
"Currency","2016/05/18",78.57
"Currency","2016/05/17",78.64
"Currency","2016/05/16",78.85
"Currency","2016/05/13",78.62
"Currency","2016/05/12",78.14
"Currency","2016/05/11",78.34
"Currency","2016/05/10",78.37
"Currency","2016/05/09",78.39
"Currency","2016/05/06",78.38
"Currency","2016/05/05",78.52
"Currency","2016/05/04",78.37
"Currency","2016/05/03",78.13
"Currency","2016/05/02",78.45
"Currency","2016/04/29",78.44
"Currency","2016/04/28",78.34
"Currency","2016/04/27",78.34
"Currency","2016/04/26",78.37
"Currency","2016/04/25",78.33
"Currency","2016/04/23",78.33
"Currency","2016/04/22",78.33
"Currency","2016/04/21",78.39
"Currency","2016/04/20",78.43
"Currency","2016/04/19",78.38
"Currency","2016/04/18",78.35
"Currency","2016/04/15",78.35
"Currency","2016/04/14",78.32
"Currency","2016/04/13",78.34
"Currency","2016/04/12",78.48
"Currency","2016/04/11",78.37
"Currency","2016/04/08",78.41
"Currency","2016/04/07",78.61
"Currency","2016/04/06",78.12
"Currency","2016/04/05",78.29
"Currency","2016/04/04",78.29
"Currency","2016/04/01",78.36
"Currency","2016/03/31",78.36
"Currency","2016/03/30",78.38
"Currency","2016/03/29",78.31
"Currency","2016/03/28",78.34
"Currency","2016/03/25",78.32
"Currency","2016/03/24",78.34
"Currency","2016/03/23",78.37
"Currency","2016/03/22",78.34
"Currency","2016/03/21",78.36
"Currency","2016/03/18",78.31
"Currency","2016/03/17",78.50
"Currency","2016/03/16",78.37
"Currency","2016/03/15",78.37
"Currency","2016/03/14",78.40
"Currency","2016/03/13",78.16
"Currency","2016/03/11",76.88
"Currency","2016/03/10",78.35
"Currency","2016/03/09",78.46
"Currency","2016/03/08",78.44
"Currency","2016/03/07",78.44
"Currency","2016/03/06",78.33
"Currency","2016/03/04",78.33
"Currency","2016/03/03",78.53
"Currency","2016/03/02",78.43
"Currency","2016/03/01",78.52
"Currency","2016/02/29",78.48
"Currency","2016/02/28",79.14
"Currency","2016/02/26",78.46
"Currency","2016/02/25",78.46
"Currency","2016/02/24",78.08
"Currency","2016/02/23",78.48
"Currency","2016/02/22",78.58
"Currency","2016/02/19",78.54
"Currency","2016/02/18",78.38
