"Indicator","Time","Value (USD/MMK)"
"Currency","2016/09/17",1228.00
"Currency","2016/09/16",1228.00
"Currency","2016/09/15",1219.00
"Currency","2016/09/14",1216.00
"Currency","2016/09/13",1215.00
"Currency","2016/09/12",1215.00
"Currency","2016/09/10",1220.00
"Currency","2016/09/09",1220.00
"Currency","2016/09/08",1220.00
"Currency","2016/09/07",1217.00
"Currency","2016/09/06",1215.00
"Currency","2016/09/05",1184.00
"Currency","2016/09/03",1210.00
"Currency","2016/09/02",1210.00
"Currency","2016/09/01",1208.00
"Currency","2016/08/31",1208.00
"Currency","2016/08/30",1204.00
"Currency","2016/08/29",1204.00
"Currency","2016/08/26",1206.00
"Currency","2016/08/25",1195.00
"Currency","2016/08/24",1210.00
"Currency","2016/08/23",1199.00
"Currency","2016/08/22",1190.00
"Currency","2016/08/19",1193.00
"Currency","2016/08/18",1189.00
"Currency","2016/08/17",1187.00
"Currency","2016/08/16",1189.00
"Currency","2016/08/15",1190.00
"Currency","2016/08/12",1185.00
"Currency","2016/08/11",1179.00
"Currency","2016/08/10",1185.00
"Currency","2016/08/09",1183.00
"Currency","2016/08/08",1183.00
"Currency","2016/08/05",1182.00
"Currency","2016/08/04",1184.00
"Currency","2016/08/03",1181.00
"Currency","2016/08/02",1184.00
"Currency","2016/08/01",1183.00
"Currency","2016/07/29",1182.00
"Currency","2016/07/28",1185.00
"Currency","2016/07/27",1184.00
"Currency","2016/07/26",1189.00
"Currency","2016/07/25",1180.00
"Currency","2016/07/22",1180.00
"Currency","2016/07/21",1188.00
"Currency","2016/07/20",1179.00
"Currency","2016/07/19",1182.00
"Currency","2016/07/18",1182.00
"Currency","2016/07/15",1174.00
"Currency","2016/07/14",1174.00
"Currency","2016/07/13",1176.00
"Currency","2016/07/12",1175.00
"Currency","2016/07/11",1175.00
"Currency","2016/07/08",1169.00
"Currency","2016/07/07",1166.00
"Currency","2016/07/06",1164.00
"Currency","2016/07/05",1165.00
"Currency","2016/07/04",1170.00
"Currency","2016/07/01",1170.00
"Currency","2016/06/30",1172.00
"Currency","2016/06/29",1184.60
"Currency","2016/06/28",1182.65
"Currency","2016/06/27",1174.85
"Currency","2016/06/24",1185.60
"Currency","2016/06/23",1185.60
"Currency","2016/06/22",1196.25
"Currency","2016/06/21",1188.85
"Currency","2016/06/20",1186.25
"Currency","2016/06/17",1184.95
"Currency","2016/06/16",1185.55
"Currency","2016/06/15",1185.85
"Currency","2016/06/14",1192.00
"Currency","2016/06/13",1192.30
"Currency","2016/06/10",1196.45
"Currency","2016/06/09",1184.70
"Currency","2016/06/08",1193.15
"Currency","2016/06/07",1193.00
"Currency","2016/06/06",1198.05
"Currency","2016/06/04",1188.75
"Currency","2016/06/03",1198.05
"Currency","2016/06/02",1198.15
"Currency","2016/06/01",1189.85
"Currency","2016/05/31",1185.40
"Currency","2016/05/30",1184.50
"Currency","2016/05/27",1184.35
"Currency","2016/05/26",1178.95
"Currency","2016/05/25",1180.55
"Currency","2016/05/24",1176.75
"Currency","2016/05/23",1174.60
"Currency","2016/05/20",1174.70
"Currency","2016/05/19",1179.90
"Currency","2016/05/18",1173.50
"Currency","2016/05/17",1171.40
"Currency","2016/05/16",1171.40
"Currency","2016/05/13",1164.65
"Currency","2016/05/12",1169.10
"Currency","2016/05/11",1164.45
"Currency","2016/05/10",1165.00
"Currency","2016/05/09",1165.20
"Currency","2016/05/06",1171.70
"Currency","2016/05/05",1172.50
"Currency","2016/05/04",1175.35
"Currency","2016/05/03",1167.20
"Currency","2016/05/02",1165.40
"Currency","2016/04/30",1168.90
"Currency","2016/04/29",1168.90
"Currency","2016/04/28",1169.60
"Currency","2016/04/27",1164.55
"Currency","2016/04/26",1161.80
"Currency","2016/04/25",1162.75
"Currency","2016/04/23",1185.70
"Currency","2016/04/22",1185.70
"Currency","2016/04/21",1185.70
"Currency","2016/04/20",1176.35
"Currency","2016/04/19",1179.10
"Currency","2016/04/18",1178.65
"Currency","2016/04/16",1178.10
"Currency","2016/04/15",1178.10
"Currency","2016/04/14",1178.20
"Currency","2016/04/13",1181.80
"Currency","2016/04/12",1176.75
"Currency","2016/04/11",1174.90
"Currency","2016/04/09",1187.05
"Currency","2016/04/08",1187.05
"Currency","2016/04/07",1186.60
"Currency","2016/04/06",1191.00
"Currency","2016/04/05",1202.10
"Currency","2016/04/04",1216.30
"Currency","2016/04/01",1216.30
"Currency","2016/03/31",1202.95
"Currency","2016/03/30",1202.95
"Currency","2016/03/29",1209.50
"Currency","2016/03/28",1209.50
"Currency","2016/03/25",1209.40
"Currency","2016/03/24",1211.85
"Currency","2016/03/23",1211.75
"Currency","2016/03/22",1210.80
"Currency","2016/03/21",1212.70
"Currency","2016/03/18",1211.35
"Currency","2016/03/17",1199.50
"Currency","2016/03/16",1212.60
"Currency","2016/03/15",1213.40
"Currency","2016/03/14",1209.25
"Currency","2016/03/13",1213.65
"Currency","2016/03/11",1213.65
"Currency","2016/03/10",1214.05
"Currency","2016/03/09",1216.55
"Currency","2016/03/08",1230.90
"Currency","2016/03/07",1225.70
"Currency","2016/03/06",1227.35
"Currency","2016/03/04",1227.35
"Currency","2016/03/03",1226.90
"Currency","2016/03/02",1238.00
"Currency","2016/03/01",1240.10
"Currency","2016/02/29",1238.40
"Currency","2016/02/28",1235.80
"Currency","2016/02/26",1235.80
"Currency","2016/02/25",1233.55
"Currency","2016/02/24",1239.25
"Currency","2016/02/23",1237.55
"Currency","2016/02/22",1237.05
"Currency","2016/02/19",1231.40
"Currency","2016/02/18",1234.45
"Currency","2016/02/17",1235.70
"Currency","2016/02/16",1233.10
"Currency","2016/02/15",1230.55
"Currency","2016/02/12",1232.65
"Currency","2016/02/11",1220.55
"Currency","2016/02/10",1234.30
"Currency","2016/02/09",1249.20
"Currency","2016/02/08",1263.55
"Currency","2016/02/05",1263.55
"Currency","2016/02/04",1256.70
"Currency","2016/02/03",1279.75
"Currency","2016/02/02",1290.10
"Currency","2016/02/01",1293.35
"Currency","2016/01/29",1294.35
"Currency","2016/01/28",1296.95
"Currency","2016/01/27",1295.10
"Currency","2016/01/26",1291.25
"Currency","2016/01/25",1304.80
"Currency","2016/01/22",1301.05
"Currency","2016/01/21",1301.65
"Currency","2016/01/20",1292.10
"Currency","2016/01/19",1299.19
"Currency","2016/01/18",1298.30
"Currency","2016/01/15",1301.20
"Currency","2016/01/14",1287.70
"Currency","2016/01/13",1297.05
"Currency","2016/01/12",1300.65
"Currency","2016/01/11",1300.21
"Currency","2016/01/08",1292.55
"Currency","2016/01/07",1295.30
"Currency","2016/01/06",1298.05
"Currency","2016/01/05",1313.10
"Currency","2016/01/04",1307.75
"Currency","2016/01/03",1306.75
"Currency","2016/01/01",1306.75
"Currency","2015/12/31",1306.75
"Currency","2015/12/30",1316.50
"Currency","2015/12/29",1313.45
"Currency","2015/12/28",1312.80
"Currency","2015/12/25",1308.95
"Currency","2015/12/24",1314.26
"Currency","2015/12/23",1305.75
"Currency","2015/12/22",1303.35
"Currency","2015/12/21",1301.36
"Currency","2015/12/20",1303.75
"Currency","2015/12/18",1303.75
"Currency","2015/12/17",1304.45
"Currency","2015/12/16",1303.65
"Currency","2015/12/15",1297.20
"Currency","2015/12/14",1296.15
"Currency","2015/12/11",1296.15
"Currency","2015/12/10",1282.95
"Currency","2015/12/09",1288.15
"Currency","2015/12/08",1287.95
"Currency","2015/12/07",1291.30
"Currency","2015/12/06",1247.65
"Currency","2015/12/04",1247.65
"Currency","2015/12/03",1296.90
"Currency","2015/12/02",1297.55
"Currency","2015/12/01",1301.45
"Currency","2015/11/30",1301.50
"Currency","2015/11/28",1302.95
"Currency","2015/11/27",1301.50
"Currency","2015/11/26",1297.40
"Currency","2015/11/25",1300.25
"Currency","2015/11/24",1297.30
"Currency","2015/11/23",1298.20
"Currency","2015/11/20",1290.75
"Currency","2015/11/19",1291.05
"Currency","2015/11/18",1287.10
"Currency","2015/11/17",1292.00
"Currency","2015/11/16",1294.00
"Currency","2015/11/13",1271.80
"Currency","2015/11/12",1281.90
"Currency","2015/11/11",1287.40
"Currency","2015/11/10",1287.95
"Currency","2015/11/09",1299.70
"Currency","2015/11/08",1277.40
"Currency","2015/11/06",1277.40
"Currency","2015/11/05",1284.80
"Currency","2015/11/04",1276.80
"Currency","2015/11/03",1276.05
"Currency","2015/11/02",1276.00
"Currency","2015/11/01",1274.00
"Currency","2015/10/30",1274.00
"Currency","2015/10/29",1293.35
"Currency","2015/10/28",1279.45
"Currency","2015/10/27",1272.00
"Currency","2015/10/26",1284.05
"Currency","2015/10/25",1278.15
"Currency","2015/10/23",1278.15
"Currency","2015/10/22",1279.60
"Currency","2015/10/21",1278.80
"Currency","2015/10/20",1278.20
"Currency","2015/10/19",1279.00
"Currency","2015/10/18",1285.90
"Currency","2015/10/16",1285.90
"Currency","2015/10/15",1285.90
"Currency","2015/10/14",1284.90
"Currency","2015/10/13",1288.45
"Currency","2015/10/12",1288.75
"Currency","2015/10/09",1290.50
"Currency","2015/10/08",1289.50
"Currency","2015/10/07",1286.45
"Currency","2015/10/06",1288.35
"Currency","2015/10/05",1287.80
"Currency","2015/10/04",1286.80
"Currency","2015/10/02",1286.80
"Currency","2015/10/01",1294.05
"Currency","2015/09/30",1288.10
"Currency","2015/09/29",1288.75
"Currency","2015/09/28",1281.65
"Currency","2015/09/27",1286.55
"Currency","2015/09/26",1286.55
"Currency","2015/09/25",1286.55
"Currency","2015/09/24",1286.55
"Currency","2015/09/23",1290.05
"Currency","2015/09/22",1301.55
"Currency","2015/09/21",1308.20
"Currency","2015/09/20",1282.40
"Currency","2015/09/18",1282.40
"Currency","2015/09/17",1280.55
"Currency","2015/09/16",1289.50
"Currency","2015/09/15",1290.15
"Currency","2015/09/14",1276.65
"Currency","2015/09/13",1287.45
"Currency","2015/09/11",1287.45
"Currency","2015/09/10",1286.75
"Currency","2015/09/09",1279.40
"Currency","2015/09/08",1279.40
"Currency","2015/09/07",1277.65
"Currency","2015/09/06",1284.90
"Currency","2015/09/04",1284.90
"Currency","2015/09/03",1284.90
"Currency","2015/09/02",1275.75
"Currency","2015/09/01",1275.75
"Currency","2015/08/31",1275.75
"Currency","2015/08/30",1281.75
"Currency","2015/08/28",1281.75
"Currency","2015/08/27",1293.20
"Currency","2015/08/26",1282.25
"Currency","2015/08/25",1277.50
"Currency","2015/08/24",1274.65
"Currency","2015/08/21",1290.15
"Currency","2015/08/20",1281.05
"Currency","2015/08/19",1275.35
"Currency","2015/08/18",1271.60
"Currency","2015/08/17",1267.70
"Currency","2015/08/14",1267.70
"Currency","2015/08/13",1245.25
"Currency","2015/08/12",1239.55
"Currency","2015/08/11",1231.90
"Currency","2015/08/10",1231.90
"Currency","2015/08/07",1235.80
"Currency","2015/08/06",1241.00
"Currency","2015/08/05",1229.50
"Currency","2015/08/04",1232.50
"Currency","2015/08/03",1231.00
"Currency","2015/07/31",1232.50
"Currency","2015/07/30",1242.55
"Currency","2015/07/29",1242.55
"Currency","2015/07/28",1242.60
"Currency","2015/07/27",1242.65
"Currency","2015/07/24",1246.50
"Currency","2015/07/23",1245.90
"Currency","2015/07/22",1246.15
"Currency","2015/07/21",1236.50
"Currency","2015/07/20",1232.05
"Currency","2015/07/17",1225.80
"Currency","2015/07/16",1220.10
"Currency","2015/07/15",1217.40
"Currency","2015/07/14",1146.80
"Currency","2015/07/13",1137.15
"Currency","2015/07/12",1131.10
"Currency","2015/07/10",1131.10
"Currency","2015/07/09",1131.95
"Currency","2015/07/08",1132.05
"Currency","2015/07/07",1132.50
"Currency","2015/07/06",1132.50
"Currency","2015/07/04",1131.05
"Currency","2015/07/03",1133.00
"Currency","2015/07/02",1127.85
"Currency","2015/07/01",1117.20
"Currency","2015/06/30",1117.50
"Currency","2015/06/29",1118.50
"Currency","2015/06/26",1117.50
"Currency","2015/06/25",1117.50
"Currency","2015/06/24",1117.50
"Currency","2015/06/23",1110.00
"Currency","2015/06/22",1117.50
"Currency","2015/06/19",1110.00
"Currency","2015/06/18",1113.00
"Currency","2015/06/17",1113.50
"Currency","2015/06/16",1113.00
"Currency","2015/06/15",1113.00
